Timestamp,Sport,Away,Home,Market,Direction,Movement,Spread Line Home,Spread Line Away,Total Line,Odds (Am),Reason Text,Opening Decimal,Peak Decimal,Current Decimal,MinutesToStart,Actual Winner,Predicted,Prediction Result,Stake Amount,Game Time,American Odds,LowVig Home Odds (Am),LowVig Away Odds (Am),BetOnline Home Odds (Am),BetOnline Away Odds (Am),LowVig Home Decimal,LowVig Away Decimal,Decimal Odds (Current),ImpliedProb,Edge,Bet ID,Tier Code,Tier Label,Blank5,Blank6,ML Direction,Model Probability,Bet Limit,Limit Trend,Min Proba Threshold,Strong Flag (YES/NO),Blank7,Blank8,Bank9,Blank10,Blank11,Blank12,Blank13,Blank14,Blank15,Blank16,KalshiTicker,KalshiSide,KalshiPrice,KalshiTIF,KalshiQty,SentToKalshi,KalshiStatus,KalshiOrderId,KalshiTs,KalshiError
2025-08-13 13:01:29,baseball_mlb,Washington Nationals,Kansas City Royals,H2H Home,Down,-142 → -142 → -161 (Down),-1.5,1.5,9,-161,,1.7,1.7,1.62,68.5,Washington Nationals,Kansas City Royals,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 13:01:30,baseball_mlb,Washington Nationals,Kansas City Royals,Spread Home,Down,+144 → +150 → +125 (Down),-1.5,1.5,9,+125,,2.44,2.51,2.26,68.5,Washington Nationals,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 13:31:31,baseball_mlb,Washington Nationals,Kansas City Royals,H2H Home,Down,-142 → -142 → -161 (Down),-1.5,1.5,9,-161,,1.7,1.7,1.62,38.5,Washington Nationals,Kansas City Royals,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 13:31:32,baseball_mlb,Washington Nationals,Kansas City Royals,H2H Away,Up,+127 → +147 → +147 (Up),-1.5,1.5,9,+147,,2.28,2.47,2.47,38.5,Washington Nationals,Washington Nationals,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 13:31:32,baseball_mlb,Washington Nationals,Kansas City Royals,Spread Home,Down,+144 → +150 → +125 (Down),-1.5,1.5,9,+125,,2.44,2.51,2.26,38.5,Washington Nationals,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 14:01:34,baseball_mlb,Washington Nationals,Kansas City Royals,H2H Home,Down,-142 → -142 → -161 (Down),-1.5,1.5,9,-161,,1.7,1.7,1.62,8.4,Washington Nationals,Kansas City Royals,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 14:01:35,baseball_mlb,Washington Nationals,Kansas City Royals,H2H Away,Up,+127 → +147 → +147 (Up),-1.5,1.5,9,+147,,2.28,2.47,2.47,8.4,Washington Nationals,Washington Nationals,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 14:01:35,baseball_mlb,Washington Nationals,Kansas City Royals,Spread Home,Down,+144 → +150 → +125 (Down),-1.5,1.5,9,+125,,2.44,2.51,2.26,8.4,Washington Nationals,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 14:31:37,baseball_mlb,Arizona Diamondbacks,Texas Rangers,H2H Away,Down,+140 → +148 → +129 (Down),-1.5,1.5,8,+129,,2.4,2.48,2.29,3.4,Arizona Diamondbacks,Arizona Diamondbacks,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 15:01:39,baseball_mlb,San Diego Padres,San Francisco Giants,H2H Away,Down,+158 → +112 → -135 (Down),1.5,-1.5,8,-135,,2.58,2.13,1.74,44.3,San Diego Padres,San Diego Padres,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 15:01:40,baseball_mlb,San Diego Padres,San Francisco Giants,Spread Home,Down,+129 → +166 → -128 (Down),1.5,-1.5,8,-128,,2.3,2.66,1.78,44.3,San Diego Padres,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 15:31:41,baseball_mlb,San Diego Padres,San Francisco Giants,H2H Away,Down,+158 → +112 → -140 (Down),1.5,-1.5,8,-140,,2.58,2.13,1.71,14.3,San Diego Padres,San Diego Padres,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 15:31:42,baseball_mlb,San Diego Padres,San Francisco Giants,Spread Home,Down,+129 → +166 → -126 (Down),1.5,-1.5,8,-126,,2.3,2.66,1.79,14.3,San Diego Padres,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 16:01:43,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,H2H Away,Down,+112 → +112 → -126 (Down),1.5,-1.5,8.5,-126,,2.12,2.12,1.79,68.3,Cincinnati Reds,Philadelphia Phillies,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 16:01:45,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,Spread Home,Down,+159 → +166 → -144 (Down),1.5,-1.5,8.5,-144,,2.59,2.66,1.69,68.3,Cincinnati Reds,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 16:31:46,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,H2H Home,Down,-123 → +117 → +112 (Down),1.5,-1.5,8,+112,,1.81,2.17,2.12,68.2,Cincinnati Reds,Cincinnati Reds,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 16:31:46,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,H2H Away,Down,+112 → +112 → -121 (Down),1.5,-1.5,8,-121,,2.12,2.12,1.82,68.2,Cincinnati Reds,Philadelphia Phillies,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 16:31:46,baseball_mlb,Philadelphia Phillies,Cincinnati Reds,Spread Home,Down,+159 → +166 → -149 (Down),1.5,-1.5,8,-149,,2.59,2.66,1.67,68.2,Cincinnati Reds,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
